text@oyk1977f	@oyk1977f	117.86	126.178	Маш / я не знаю / я не знаю / ммм ну это какой-то // уже мне кажется / эээ / вживлённый чип что ли я не я не знаю как мы это всё проживаем  
text@oyk1977f	@oyk1977f	129.78	132.359	нет ну конечно у меня есть отпуск и / я могу не видеться с
text@oyk1977f	@oyk1977f	133.1	137.834	нет / мы отдыхаем не вместе / мы не видимся иногда / эээ // неделями
text@oyk1977f	@oyk1977f	141.336	146.663	ну у меня просто не выпадало случая проводить / эээ / без них много времени / поэтому / я как-то
text@oyk1977f	@oyk1977f	147.464	148.182	максимально
text@oyk1977f	@oyk1977f	148.701	149.487	ну месяц
text@oyk1977f	@oyk1977f	153.176	155.066	да ну ну месяц может быть
text@oyk1977f	@oyk1977f	172.24	177.6	возм... возможно юморной Леночки в какой-то момент стало слишком много / для меня / лично
text@oyk1977f	@oyk1977f	177.62	190.66	то есть у меня не было / ммм / моя мысль / эээ / не шла в том русле что / так / кажется я заигралась в Леночку из квартала / слишком много Юли / слишком много пародий хи хи ха ха надо / как-то вот пиар-ход другой / теперь я серьёзная
text@oyk1977f	@oyk1977f	190.68	192.36	этого вообще во мне нет
text@oyk1977f	@oyk1977f	196.632	197.243	да
text@oyk1977f	@oyk1977f	198.41	198.855	да
text@oyk1977f	@oyk1977f	199.856	200.56	окей
text@oyk1977f	@oyk1977f	210.54	212.4	так и є Маша да так
text@oyk1977f	@oyk1977f	217.687	219.327	вклю... / включается работа
text@oyk1977f	@oyk1977f	223.062	225.375	я могу так сказать на пятом человеке
text@oyk1977f	@oyk1977f	225.656	229.077	на пятом / я могу отказать в... в фотографии в аэропорту
text@oyk1977f	@oyk1977f	229.265	233.609	я вообще в последнее время чаще отказываю / в фотографии / но / у меня...
text@oyk1977f	@oyk1977f	239.468	241.531	ну вот я не знаю почему просто я этого не хочу
text@oyk1977f	@oyk1977f	241.64	250.343	благодаря кварталу / благодаря в приципе вот эээ этому / ну / начинанию делу там / КВНу движению / ну в принципе поменялась моя жизнь / очень сильно
text@oyk1977f	@oyk1977f	250.358	258.614	я когда-то говорила там мм пацанам как-то там после / очередного бокала шампанского что-то меня туда повело на на откровенность
text@oyk1977f	@oyk1977f	258.681	273.181	я говорю что по сути своим вот сегодняшним таким / мм / ну не знаю / тихим счастьем таким да вот / внутренним каким-то спокойствием и этой жизнью / ээ / ну я обязана им потому что / по сути они / моторы ну
text@oyk1977f	@oyk1977f	273.237	283.015	мм Вова там да ну вот пацаны / те которые начинали / Саня Пикалов там вот вот ну ну он... они они вот это всё как-то вот так вот двигали пытались сдвинуть с места
text@oyk1977f	@oyk1977f	283.025	290.803	я уже заскочила / в этот поезд и уже ну скажем так стала одним из вагончиков / а они / тогда были окомотивом вот этим вот главным
text@oyk1977f	@oyk1977f	290.887	298.109	я / вот / правда я понимаю... я очень чётко осзнаю одну вещь / я никогда не перестану быть лагодарной за это
text@oyk1977f	@oyk1977f	298.137	321.279	как бы нас может быть там где-то ни развела судьба / что бы ни произошло вообще в нашей творческой профессиональной жизни / нн ну что бы вобще как бы мы там ну вот вот вот что бы ни случилось / вот это такое / мм / детское юное чувство благодарности за то что / ээ / я одна из немногих / кто попал вот вот вот в этот паровозик
words@mae1979f	@mae1979f	0.343	0.738	девяносто
words@mae1979f	@mae1979f	0.738	1.133	пятый
words@mae1979f	@mae1979f	1.133	1.528	квартал
words@mae1979f	@mae1979f	1.528	1.923	когда-то
words@mae1979f	@mae1979f	1.923	2.318	/
words@mae1979f	@mae1979f	2.318	2.713	сейчас
words@mae1979f	@mae1979f	2.713	3.108	квартал
words@mae1979f	@mae1979f	3.108	3.503	девяносто
words@mae1979f	@mae1979f	3.503	3.906	пять
words@mae1979f	@mae1979f	3.906	4.418	это
words@mae1979f	@mae1979f	4.418	4.93	ээ
words@mae1979f	@mae1979f	4.93	5.442	большая
words@mae1979f	@mae1979f	5.442	5.954	часть
words@mae1979f	@mae1979f	5.954	6.466	твоей
words@mae1979f	@mae1979f	6.466	6.978	жизни
words@mae1979f	@mae1979f	6.978	7.49	/
words@mae1979f	@mae1979f	7.49	8.002	коллектив
words@mae1979f	@mae1979f	8.002	8.514	/
words@mae1979f	@mae1979f	8.514	9.026	где
words@mae1979f	@mae1979f	9.026	9.538	в
words@mae1979f	@mae1979f	9.538	10.05	основном
words@mae1979f	@mae1979f	10.05	10.562	мужчины
words@mae1979f	@mae1979f	10.562	10.778	/
words@mae1979f	@mae1979f	10.778	10.994	/
words@mae1979f	@mae1979f	10.994	11.21	как
words@mae1979f	@mae1979f	11.21	11.426	они
words@mae1979f	@mae1979f	11.426	11.642	тебя
words@mae1979f	@mae1979f	11.642	11.858	нежно
words@mae1979f	@mae1979f	11.858	12.074	называют
words@mae1979f	@mae1979f	12.074	12.29	/
words@mae1979f	@mae1979f	12.29	12.506	скажи
words@mae1979f	@mae1979f	12.506	12.722	мне
words@mae1979f	@mae1979f	12.722	12.938	пожалуйста
words@mae1979f	@mae1979f	12.938	13.156	?
words@mae1979f	@mae1979f	15.84	16.266	почему
words@mae1979f	@mae1979f	16.266	16.692	Малечка
words@mae1979f	@mae1979f	16.692	17.12	?
words@mae1979f	@mae1979f	19.08	20.16	аа
words@mae1979f	@mae1979f	21.72	22.72	мм
words@mae1979f	@mae1979f	26.173	26.547	вы
words@mae1979f	@mae1979f	26.547	26.921	пятнадцать
words@mae1979f	@mae1979f	26.921	27.295	лет
words@mae1979f	@mae1979f	27.295	27.669	вместе
words@mae1979f	@mae1979f	27.669	28.043	/
words@mae1979f	@mae1979f	28.043	28.417	/
